Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombres,21,15426,16045,16770,17652,18545,19484,20475,21492,22541,23603,24655,25683,26681,27649,28598,29541,30494,31469,32482,33534,34472,35292,36102,36805,37359,37744,37920,37858,37705,37581,37471,37577,37950,38426,38887,39310,39764,40284,40943,41706,42643,43925,45318,46536,47512,48277
Hombres,22,14858,15489,16103,16820,17698,18589,19527,20515,21524,22559,23606,24655,25685,26685,27659,28613,29565,30529,31514,32535,33471,34327,35185,35988,36703,37267,37620,37760,37715,37561,37385,37383,37630,38005,38425,38858,39333,39865,40504,41233,42181,43436,44790,46127,47301,48214
Hombres,23,14331,14917,15544,16151,16864,17741,18632,19567,20549,21544,22571,23626,24682,25715,26720,27698,28659,29621,30593,31584,32498,33360,34255,35115,35930,36652,37193,37519,37680,37638,37415,37316,37443,37698,38033,38437,38894,39419,40062,40767,41688,42941,44244,45532,46820,47926
Hombres,24,13841,14382,14964,15585,16188,16901,17778,18666,19594,20561,21553,22598,23665,24723,25759,26767,27751,28720,29687,30664,31559,32405,33304,34208,35081,35902,36611,37136,37487,37654,37531,37356,37374,37517,37749,38081,38483,38963,39592,40297,41195,42399,43677,44907,46141,47355
Hombres,25,13378,13877,14416,14992,15611,16213,16926,17801,18682,19597,20567,21584,22643,23710,24769,25807,26818,27808,28780,29750,30640,31475,32356,33267,34183,35061,35878,36580,37131,37489,37569,37472,37404,37443,37577,37817,38126,38531,39110,39800,40695,41845,43053,44254,45425,46580
Hombres,26,12929,13399,13896,14430,15004,15623,16226,16936,17804,18674,19595,20594,21627,22685,23752,24811,25850,26866,27856,28829,29723,30560,31425,32320,33243,34162,35044,35862,36590,37149,37418,37506,37505,37463,37507,37658,37859,38155,38655,39296,40163,41274,42409,43538,44680,45771
Hombres,27,12491,12930,13399,13893,14426,15001,15621,16222,16928,17787,18666,19619,20635,21665,22721,23786,24845,25885,26899,27887,28794,29642,30506,31386,32291,33215,34144,35033,35875,36611,37081,37344,37519,37549,37522,37592,37694,37870,38257,38818,39617,40662,41743,42802,43873,44937
Hombres,28,12093,12474,12913,13379,13873,14409,14986,15605,16203,16901,17770,18684,19653,20665,21693,22745,23809,24867,25904,26914,27846,28713,29583,30460,31347,32252,33189,34130,35040,35890,36539,36995,37336,37544,37599,37606,37618,37687,37950,38398,39095,40032,41036,42046,43052,44051
Hombres,29,11699,12060,12442,12880,13348,13845,14384,14962,15579,16172,16882,17785,18713,19678,20686,21708,22756,23817,24870,25901,26863,27762,28647,29529,30411,31296,32216,33170,34128,35044,35810,36440,36964,37341,37581,37675,37621,37597,37749,38072,38631,39426,40316,41256,42221,43163
Hombres,30,11274,11651,12015,12397,12838,13311,13813,14353,14931,15546,16151,16893,17809,18731,19691,20693,21710,22755,23808,24853,25845,26779,27692,28587,29471,30348,31250,32190,33159,34123,34961,35703,36393,36954,37366,37649,37682,37589,37644,37854,38262,38883,39629,40464,41369,42280
Hombres,31,10846,11215,11596,11961,12348,12795,13273,13778,14321,14899,15526,16160,16912,17822,18739,19692,20688,21700,22737,23782,24795,25763,26707,27626,28519,29395,30292,31217,32170,33142,34033,34846,35642,36367,36966,37424,37648,37642,37625,37736,38005,38444,39017,39718,40528,41390
Hombres,32,10435,10780,11153,11537,11908,12302,12757,13241,13750,14293,14882,15534,16177,16923,17827,18736,19683,20673,21676,22704,23722,24716,25690,26637,27553,28437,29335,30258,31192,32146,33051,33917,34776,35605,36368,37012,37415,37605,37671,37707,37852,38126,38521,39060,39747,40525
Hombres,33,10044,10365,10715,11093,11483,11863,12265,12726,13214,13727,14281,14890,15548,16184,16924,17821,18724,19665,20646,21640,22646,23650,24646,25621,26562,27466,28374,29300,30228,31162,32055,32935,33840,34730,35597,36405,37001,37375,37631,37748,37796,37923,38159,38530,39064,39729
Hombres,34,9670,9972,10299,10655,11040,11440,11828,12238,12706,13199,13720,14289,14901,15553,16184,16918,17809,18706,19639,20612,21589,22582,23584,24579,25546,26474,27403,28340,29268,30192,31072,31942,32855,33789,34715,35624,36391,36965,37402,37706,37813,37824,37922,38143,38517,39037
Hombres,35,9320,9601,9910,10243,10607,11002,11412,11808,12225,12698,13198,13728,14298,14905,15552,16176,16905,17791,18681,19606,20564,21530,22521,23520,24505,25457,26412,27369,28305,29227,30104,30963,31862,32802,33770,34736,35613,36365,36995,37475,37750,37806,37797,37888,38120,38489
Hombres,36,8992,9256,9544,9859,10200,10574,10979,11397,11801,12224,12701,13205,13734,14299,14903,15545,16165,16891,17771,18654,19567,20514,21475,22461,23449,24418,25397,26379,27333,28260,29142,30003,30886,31807,32778,33782,34723,35591,36394,37064,37498,37712,37758,37749,37857,38090
Hombres,37,8679,8933,9204,9499,9822,10173,10557,10969,11395,11805,12231,12708,13209,13734,14297,14897,15536,16155,16875,17750,18623,19524,20466,21420,22393,23365,24360,25366,26342,27285,28179,29049,29929,30831,31780,32784,33770,34709,35622,36460,37069,37436,37650,37702,37715,37829
Hombres,38,8379,8628,8890,9167,9469,9801,10161,10553,10973,11404,11814,12235,12707,13205,13730,14291,14889,15528,16143,16861,17725,18585,19479,20413,21355,22311,23308,24329,25327,26290,27207,28094,28978,29875,30802,31780,32772,33762,34740,35684,36449,36988,37365,37588,37665,37688
Hombres,39,8082,8337,8592,8859,9143,9454,9794,10160,10558,10982,11411,11813,12228,12700,13200,13724,14286,14885,15523,16139,16844,17693,18545,19431,20352,21277,22257,23278,24289,25273,26217,27131,28028,28925,29842,30793,31767,32768,33791,34794,35657,36353,36910,37299,37549,37638
Hombres,40,7771,8048,8309,8569,8841,9132,9450,9795,10167,10568,10988,11407,11804,12221,12695,13195,13722,14286,14886,15526,16127,16814,17654,18498,19371,20275,21222,22226,23237,24233,25203,26148,27069,27975,28889,29826,30779,31766,32795,33839,34755,35549,36270,36841,37257,37521
Hombres,41,7440,7745,8026,8290,8554,8833,9129,9451,9800,10174,10570,10980,11395,11795,12215,12691,13195,13726,14294,14898,15520,16098,16778,17610,18442,19298,20224,21193,22183,23177,24165,25140,26088,27014,27933,28863,29806,30777,31787,32832,33784,34635,35462,36197,36794,37223
Hombres,42,7131,7420,7728,8010,8278,8547,8830,9130,9455,9805,10173,10559,10966,11384,11788,12213,12694,13204,13739,14311,14895,15491,16063,16735,17556,18372,19248,20192,21146,22119,23109,24105,25079,26030,26966,27898,28840,29806,30793,31814,32765,33656,34544,35383,36142,36752
Hombres,43,6830,7115,7406,7715,8000,8271,8544,8829,9129,9453,9798,10157,10542,10954,11378,11787,12217,12706,13221,13762,14310,14864,15453,16019,16682,17488,18321,19212,20140,21076,22049,23050,24043,25017,25975,26921,27868,28835,29813,30807,31731,32626,33559,34458,35319,36088
Hombres,44,6540,6817,7103,7394,7704,7991,8265,8538,8823,9122,9440,9779,10139,10529,10947,11376,11793,12231,12725,13248,13761,14275,14823,15408,15966,16616,17436,18279,19154,20062,21003,21991,22987,23978,24957,25921,26885,27860,28834,29813,30712,31586,32525,33467,34384,35252
Hombres,45,6294,6530,6807,7092,7383,7695,7983,8256,8528,8811,9105,9421,9762,10128,10524,10948,11385,11809,12254,12755,13246,13723,14233,14777,15355,15902,16563,17388,18214,19069,19986,20943,21924,22916,23909,24891,25877,26871,27848,28820,29705,30559,31479,32425,33381,34302
Hombres,46,6052,6283,6519,6794,7079,7371,7683,7969,8240,8509,8788,9083,9403,9750,10122,10525,10956,11401,11832,12283,12751,13202,13675,14183,14723,15292,15846,16508,17317,18124,18991,19927,20876,21851,22842,23835,24841,25856,26848,27819,28699,29546,30446,31370,32326,33281
Hombres,47,5813,6041,6271,6505,6779,7064,7356,7665,7949,8216,8483,8766,9067,9393,9746,10125,10534,10972,11423,11860,12274,12701,13151,13624,14128,14661,15233,15783,16429,17220,18043,18930,19856,20797,21768,22757,23774,24811,25821,26803,27687,28534,29426,30327,31257,32209
Hombres,48,5577,5800,6027,6255,6487,6761,7045,7333,7640,7920,8186,8460,8750,9057,9389,9747,10131,10547,10990,11446,11845,12218,12644,13095,13567,14067,14597,15160,15698,16329,17137,17980,18855,19771,20707,21673,22687,23735,24763,25762,26662,27518,28408,29297,30201,31124
Hombres,49,5344,5562,5784,6008,6234,6466,6737,7017,7303,7604,7885,8161,8444,8739,9051,9386,9750,10140,10559,11007,11424,11782,12156,12585,13036,13505,13998,14517,15068,15592,16241,17068,17899,18763,19672,20601,21594,22639,23677,24691,25612,26488,27385,28271,29160,30052
Hombres,50,5118,5327,5543,5762,5983,6208,6437,6705,6981,7261,7564,7857,8144,8431,8730,9045,9385,9753,10146,10568,10977,11355,11715,12094,12524,12974,13433,13910,14418,14957,15499,16167,16981,17799,18656,19558,20513,21537,22570,23592,24534,25435,26349,27238,28120,28996
Hombres,51,4903,5097,5304,5516,5732,5953,6175,6400,6665,6936,7218,7536,7840,8129,8419,8720,9038,9381,9750,10144,10530,10902,11283,11648,12029,12460,12896,13335,13803,14301,14858,15417,16072,16874,17684,18532,19460,20447,21457,22473,23428,24354,25290,26194,27078,27944
Hombres,52,4703,4877,5069,5272,5482,5697,5915,6133,6355,6614,6888,7188,7516,7821,8112,8403,8705,9025,9368,9737,10096,10448,10826,11213,11582,11965,12377,12790,13221,13682,14196,14768,15315,15958,16751,17552,18426,19385,20356,21349,22303,23244,24201,25126,26023,26888
Hombres,53,4524,4674,4846,5034,5235,5443,5654,5868,6082,6299,6562,6854,7164,7492,7799,8090,8381,8684,9002,9343,9681,10011,10368,10751,11141,11513,11875,12261,12668,13094,13570,14096,14656,15192,15827,16611,17438,18342,19285,20237,21172,22116,23086,24030,24944,25820
Hombres,54,4363,4489,4637,4805,4991,5189,5395,5602,5812,6022,6243,6525,6827,7136,7464,7769,8059,8350,8651,8966,9279,9592,9926,10288,10675,11068,11415,11749,12132,12536,12975,13459,13974,14523,15053,15680,16490,17345,18232,19155,20056,20983,21951,22906,23838,24730
Hombres,55,4219,4321,4445,4590,4756,4940,5135,5337,5541,5746,5960,6201,6492,6793,7101,7427,7730,8019,8307,8604,8895,9187,9504,9843,10209,10596,10962,11281,11614,11997,12411,12856,13330,13835,14377,14901,15554,16389,17227,18095,18972,19866,20813,21765,22706,23613
Hombres,56,4092,4172,4272,4393,4536,4700,4881,5073,5271,5471,5682,5915,6164,6453,6753,7058,7381,7682,7966,8248,8525,8799,9095,9416,9758,10125,10485,10822,11142,11476,11865,12282,12717,13182,13683,14219,14768,15445,16263,17083,17909,18780,19690,20621,21556,22472
Hombres,57,3974,4038,4116,4213,4333,4475,4637,4815,5004,5198,5403,5632,5873,6121,6408,6703,7005,7325,7621,7899,8165,8428,8705,9004,9326,9667,10006,10338,10676,10998,11336,11725,12134,12562,13025,13521,14081,14652,15314,16113,16895,17715,18598,19492,20404,21313
Hombres,58,3858,3913,3976,4053,4149,4268,4408,4567,4742,4928,5127,5349,5585,5824,6069,6352,6643,6942,7256,7545,7810,8066,8330,8609,8908,9228,9542,9854,10188,10528,10851,11187,11570,11974,12400,12860,13377,13957,14513,15157,15922,16698,17529,18394,19269,20154
Hombres,59,3738,3791,3845,3907,3983,4079,4197,4335,4492,4665,4855,5070,5298,5531,5768,6008,6287,6575,6866,7172,7451,7708,7963,8228,8506,8802,9096,9386,9699,10036,10375,10693,11025,11403,11806,12231,12710,13244,13809,14349,14964,15723,16506,17318,18165,19012
Hombres,60,3609,3665,3717,3771,3833,3909,4005,4121,4258,4414,4591,4795,5015,5240,5471,5703,5939,6213,6494,6778,7075,7347,7603,7858,8121,8395,8666,8938,9229,9544,9876,10209,10525,10854,11233,11636,12078,12569,13089,13637,14151,14760,15523,16289,17083,17902
Hombres,61,3470,3531,3586,3638,3693,3757,3834,3929,4044,4180,4339,4528,4736,4953,5176,5401,5628,5861,6127,6399,6676,6969,7239,7493,7744,8002,8253,8504,8776,9069,9379,9704,10035,10349,10680,11062,11478,11928,12406,12909,13433,13942,14555,15300,16047,16814
Hombres,62,3322,3388,3449,3504,3557,3613,3677,3754,3849,3965,4104,4273,4465,4671,4884,5101,5321,5545,5770,6028,6296,6569,6857,7124,7374,7619,7856,8088,8339,8611,8898,9202,9525,9855,10172,10507,10897,11318,11755,12217,12698,13215,13727,14325,15052,15772
Hombres,63,3167,3235,3301,3362,3418,3474,3532,3596,3674,3770,3888,4035,4207,4396,4597,4805,5017,5233,5448,5665,5919,6184,6452,6736,6997,7239,7465,7685,7916,8167,8435,8717,9020,9342,9675,9997,10337,10727,11134,11557,11998,12473,12991,13489,14070,14771
Hombres,64,3011,3078,3146,3212,3274,3332,3390,3448,3514,3593,3692,3816,3964,4132,4318,4514,4717,4924,5132,5339,5553,5805,6064,6327,6604,6857,7081,7291,7510,7740,7987,8251,8532,8835,9160,9496,9818,10155,10533,10926,11329,11764,12239,12744,13228,13786
Hombres,65,2853,2918,2985,3054,3121,3186,3246,3304,3365,3433,3513,3616,3740,3885,4050,4230,4420,4618,4817,5017,5222,5436,5682,5935,6191,6458,6693,6903,7111,7327,7555,7800,8064,8345,8650,8978,9311,9626,9951,10316,10691,11087,11521,11984,12474,12936
Hombres,66,2695,2760,2825,2892,2962,3032,3098,3159,3220,3282,3351,3433,3535,3657,3799,3958,4133,4319,4508,4699,4897,5101,5309,5548,5793,6040,6291,6512,6719,6924,7139,7368,7612,7874,8157,8464,8785,9107,9411,9725,10072,10440,10835,11258,11705,12174
Hombres,67,2534,2600,2665,2730,2799,2871,2942,3008,3071,3133,3196,3264,3346,3446,3566,3703,3857,4026,4204,4386,4576,4773,4971,5173,5404,5640,5871,6108,6324,6526,6732,6950,7178,7420,7684,7967,8264,8572,8883,9175,9472,9812,10179,10565,10974,11402
Hombres,68,2368,2440,2506,2571,2637,2708,2781,2852,2921,2986,3046,3107,3174,3254,3351,3466,3598,3748,3909,4079,4260,4449,4640,4832,5027,5249,5469,5688,5919,6130,6335,6545,6760,6984,7227,7491,7762,8044,8341,8639,8915,9205,9544,9902,10275,10666
Hombres,69,2195,2276,2347,2413,2478,2546,2617,2690,2763,2832,2894,2952,3010,3076,3155,3248,3359,3488,3630,3784,3953,4133,4315,4500,4684,4869,5077,5287,5499,5724,5939,6149,6355,6566,6789,7030,7279,7535,7807,8091,8373,8642,8932,9262,9609,9964
Hombres,70,2014,2105,2184,2255,2321,2387,2456,2527,2601,2674,2740,2797,2852,2909,2974,3048,3138,3246,3367,3503,3656,3824,3997,4173,4350,4525,4698,4896,5098,5304,5533,5753,5957,6158,6367,6587,6813,7047,7293,7552,7819,8093,8362,8645,8964,9293
Hombres,71,1831,1928,2017,2094,2164,2231,2297,2365,2436,2509,2577,2637,2691,2745,2802,2863,2935,3023,3124,3240,3375,3527,3689,3856,4024,4192,4356,4520,4710,4906,5117,5349,5562,5759,5956,6161,6366,6578,6801,7035,7277,7536,7809,8071,8344,8646
Hombres,72,1649,1748,1841,1927,2003,2073,2139,2204,2271,2342,2409,2470,2527,2581,2634,2689,2748,2819,2902,2998,3113,3247,3393,3547,3706,3864,4021,4177,4334,4518,4719,4933,5157,5361,5554,5746,5936,6127,6329,6541,6757,6991,7249,7514,7767,8023
Hombres,73,1475,1570,1664,1754,1837,1912,1981,2045,2109,2176,2240,2300,2358,2414,2468,2519,2571,2630,2696,2774,2870,2984,3112,3252,3399,3548,3697,3845,3994,4146,4335,4538,4743,4956,5153,5340,5518,5696,5877,6068,6263,6470,6703,6952,7206,7442
Hombres,74,1314,1399,1488,1578,1665,1746,1820,1886,1949,2011,2071,2128,2185,2243,2298,2350,2400,2452,2507,2570,2648,2742,2850,2972,3104,3242,3382,3523,3665,3809,3966,4157,4350,4544,4749,4938,5111,5278,5446,5617,5789,5975,6181,6405,6642,6878
Hombres,75,1168,1241,1322,1407,1493,1577,1655,1725,1789,1850,1906,1960,2014,2070,2127,2180,2230,2280,2329,2381,2444,2520,2609,2712,2827,2951,3079,3211,3346,3483,3631,3790,3971,4153,4338,4533,4710,4873,5029,5186,5339,5502,5686,5883,6095,6314
Hombres,76,1036,1097,1166,1242,1323,1406,1486,1560,1627,1689,1744,1794,1845,1899,1955,2009,2061,2111,2158,2204,2255,2315,2387,2472,2568,2675,2790,2912,3038,3168,3308,3458,3607,3775,3948,4124,4307,4474,4626,4771,4909,5052,5214,5389,5574,5768
Hombres,77,921,970,1027,1092,1164,1241,1319,1395,1465,1529,1584,1633,1682,1732,1786,1839,1892,1944,1990,2035,2080,2128,2185,2252,2332,2421,2520,2629,2745,2866,2997,3138,3277,3416,3575,3738,3903,4077,4232,4372,4498,4626,4767,4920,5082,5250
Hombres,78,819,858,904,957,1018,1086,1158,1231,1302,1368,1426,1476,1524,1572,1623,1673,1725,1778,1826,1870,1911,1953,1999,2052,2115,2188,2270,2364,2467,2577,2700,2831,2961,3090,3220,3369,3523,3680,3841,3983,4104,4219,4344,4476,4616,4762
Hombres,79,728,760,796,838,887,944,1007,1074,1143,1209,1269,1323,1371,1418,1466,1513,1562,1613,1662,1707,1748,1786,1825,1868,1917,1975,2042,2120,2208,2306,2417,2538,2659,2779,2899,3021,3162,3308,3452,3598,3720,3829,3941,4058,4178,4302
Hombres,80+,3969,4169,4371,4578,4804,5056,5331,5635,5966,6331,6713,7127,7566,8011,8467,8911,9354,9802,10232,10650,11054,11438,11827,12210,12600,12980,13340,13700,14096,14549,15122,15800,16506,17223,17978,18767,19589,20462,21332,22185,23001,23792,24604,25422,26224,26972
