Sexo ,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombres,10,0.00198243,0.00129237,0.00117982,0.0010969,0.001015,0.00093386,0.00088619,0.00084632,0.00080499,0.00078423,0.00076486,0.00072655,0.00069075,0.00064445,0.00060872,0.00059193,0.00056329,0.00055294,0.00055812,0.00055247,0.00053674,0.00051457,0.00050179,0.00048749,0.00047426,0.00046683,0.00044788,0.00042804,0.00040226,0.0003676,0.00033159,0.00030898,0.00030089,0.00030043,0.00029827,0.00031143,0.00031509,0.00032954,0.00034633,0.00035774,0.0003587,0.00033934,0.00031076,0.00030551,0.00030347,0.00030459
Hombres,11,0.00198757,0.00129481,0.00119475,0.00112282,0.0010501,0.00097539,0.00093273,0.00089673,0.0008569,0.00083739,0.00081934,0.00078096,0.00074421,0.00069603,0.00065753,0.00063931,0.00060738,0.00059563,0.0006017,0.00059586,0.00057936,0.00055613,0.00054276,0.00052883,0.00051634,0.00050909,0.00048865,0.00046759,0.00044112,0.00040618,0.00036792,0.00034429,0.00033597,0.00033577,0.0003333,0.00034707,0.00035237,0.00036778,0.00038842,0.00040192,0.00040331,0.00038425,0.00035443,0.00034829,0.00034525,0.00034625
Hombres,12,0.00204748,0.00133815,0.00124857,0.00118654,0.00112105,0.00105205,0.0010147,0.00098115,0.000942,0.00092412,0.00090703,0.00086686,0.00082962,0.00077704,0.00073593,0.00071442,0.00067836,0.00066447,0.00067031,0.00066485,0.00064709,0.0006211,0.00060759,0.00059361,0.00058008,0.00057197,0.00054986,0.00052716,0.00049879,0.00046079,0.00041917,0.00039387,0.00038613,0.00038662,0.00038364,0.00039995,0.0004052,0.00042432,0.00044969,0.0004673,0.00047156,0.00045072,0.00041945,0.00041082,0.00040686,0.00040682
Hombres,13,0.00215449,0.00142135,0.00134209,0.00128907,0.00122988,0.00116674,0.00113392,0.00110331,0.0010633,0.00104681,0.001031,0.0009895,0.00094957,0.0008912,0.00084456,0.00082056,0.00077742,0.00076044,0.00076868,0.00076258,0.00074191,0.0007131,0.00069779,0.00068227,0.00066798,0.00065971,0.00063285,0.00060728,0.0005773,0.00053495,0.0004896,0.00046147,0.00045376,0.00045532,0.00045234,0.00047099,0.0004789,0.00050234,0.00053415,0.00055743,0.00056467,0.00054338,0.00050844,0.00049861,0.00049213,0.0004895
Hombres,14,0.00230455,0.00154523,0.00147416,0.00142829,0.00137597,0.00131665,0.00129088,0.00126253,0.00122104,0.0012074,0.00119366,0.00114811,0.00110471,0.00103947,0.00098664,0.000959,0.00090657,0.00088617,0.00089528,0.00088851,0.00086488,0.00083113,0.00081416,0.00079723,0.00078052,0.00077128,0.00074017,0.00071125,0.00067727,0.00063071,0.00057846,0.00054783,0.00053978,0.00054206,0.00053889,0.00056225,0.00057227,0.00060265,0.0006437,0.00067381,0.00068535,0.00066266,0.00062429,0.00061246,0.00060237,0.00059555
Hombres,15,0.00248834,0.00170485,0.00164075,0.00160367,0.00155666,0.0015017,0.00148114,0.0014565,0.00141499,0.00140259,0.00139156,0.00134266,0.00129384,0.00121941,0.00115829,0.00112579,0.00106357,0.00103887,0.00104994,0.00104176,0.00101438,0.000975,0.00095438,0.00093637,0.00091829,0.00090822,0.00087089,0.00083711,0.00079848,0.00074522,0.00068675,0.00065193,0.00064303,0.00064735,0.00064372,0.00067123,0.00068471,0.00072371,0.00077535,0.00081532,0.00083258,0.00080866,0.00076664,0.0007518,0.0007373,0.00072531
Hombres,16,0.00270024,0.00189687,0.00183728,0.00180897,0.00176786,0.0017171,0.00170265,0.00168232,0.00163968,0.00163032,0.00162045,0.0015674,0.00151272,0.00142783,0.00135833,0.00132024,0.0012456,0.00121488,0.00122779,0.00121819,0.0011869,0.00114035,0.00111722,0.00109639,0.0010763,0.00106458,0.00102206,0.00098255,0.00093861,0.00087784,0.00080979,0.00077144,0.00076248,0.00076772,0.00076318,0.00079653,0.00081375,0.00086193,0.00092617,0.00097675,0.00100134,0.00097696,0.00093044,0.00091274,0.00089272,0.00087561
Hombres,17,0.00293418,0.00211657,0.00206199,0.00203763,0.00200247,0.0019537,0.00194867,0.00193375,0.00189022,0.00188305,0.00187628,0.00181701,0.00175545,0.00165812,0.00157825,0.00153409,0.00144701,0.00141048,0.00142449,0.00141303,0.00137649,0.00132326,0.00129706,0.00127338,0.00125167,0.0012389,0.00118927,0.00114342,0.00109334,0.00102348,0.0009455,0.00090159,0.00089165,0.00089791,0.00089304,0.00093208,0.00095361,0.0010126,0.00109102,0.00115452,0.00118682,0.00116208,0.00111215,0.00108997,0.00106547,0.00104122
Hombres,18,0.00317909,0.00235581,0.00230392,0.00228439,0.00225222,0.0022085,0.00221142,0.00220085,0.00215861,0.00215423,0.00214972,0.00208436,0.00201492,0.00190494,0.00181413,0.00176224,0.00166194,0.00161821,0.00163457,0.00162027,0.0015789,0.00151742,0.00148694,0.00146164,0.00143804,0.00142385,0.00136767,0.00131481,0.00125607,0.00117743,0.00108856,0.00103871,0.00102805,0.00103541,0.00102842,0.00107431,0.00110065,0.0011704,0.00126373,0.00134014,0.00138196,0.00135677,0.00130233,0.00127823,0.00124743,0.00121623
Hombres,19,0.00343357,0.00261209,0.00255826,0.00254359,0.00251337,0.00247175,0.00248332,0.00247996,0.00243602,0.00243558,0.002434,0.00236079,0.00228352,0.00215966,0.00205667,0.00199811,0.00188267,0.0018329,0.00184984,0.00183253,0.00178548,0.00171638,0.00168361,0.00165536,0.00162877,0.00161486,0.00155046,0.00149025,0.00142436,0.00133346,0.00123353,0.00117775,0.00116587,0.00117307,0.00116558,0.00121789,0.00124849,0.00132995,0.00143765,0.00152772,0.00157922,0.0015538,0.00149637,0.00146826,0.00143158,0.00139494
