Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,,,,,,,,,,,,,,
Hombres,18,17073,17989,18905,19910,20918,21966,23048,24144,25240,26320,27378,28369,29297,30225,31158,32116,33115,34154,35201,36220,37221,37817,38328,38628,38703,38612,38532,38433,38370,38339,38326,38564,39128,39691,40151,40410,40713,41230,41821,42685,43520,44375,45372,46149,46751,47252,47802,,,,,,,,,,,,,,,,,,,,
Hombres,19,16230,17108,18023,18927,19921,20921,21966,23043,24134,25219,26280,27285,28235,29166,30098,31038,32004,33018,34071,35128,36156,36868,37538,38021,38263,38409,38306,38163,38052,38002,37948,38088,38609,39176,39702,40018,40320,40821,41428,42195,43043,44149,45346,46263,47054,47588,48083,,,,,,,,,,,,,,,,,,,,
Hombres,20,15694,16277,17155,18059,18953,19941,20939,21981,23054,24134,25199,26223,27203,28154,29090,30028,30975,31955,32981,34043,35109,35860,36654,37305,37743,38045,38174,38006,37842,37765,37670,37690,38120,38651,39186,39576,39934,40403,40997,41779,42530,43695,45126,46229,47157,47870,48388,,,,,,,,,,,,,,,,,,,,
Hombres,21,15099,15753,16336,17204,18100,18990,19977,20973,22010,23072,24133,25176,26190,27171,28127,29068,30013,30974,31964,32999,34069,34874,35709,36494,37116,37601,37886,37954,37762,37647,37514,37427,37727,38173,38678,39095,39525,40003,40565,41321,42091,43194,44655,45981,47091,47932,48621,,,,,,,,,,,,,,,,,,,,
Hombres,22,14553,15162,15816,16389,17251,18144,19034,20019,21011,22037,23080,24132,25178,26192,27178,28140,29086,30044,31014,32013,33056,33885,34768,35602,36374,37031,37502,37738,37782,37648,37473,37297,37469,37790,38219,38630,39086,39580,40150,40858,41608,42753,44118,45462,46792,47810,48618,,,,,,,,,,,,,,,,,,,,
Hombres,23,14050,14612,15221,15867,16434,17293,18188,19076,20058,21039,22048,23093,24159,25205,26224,27215,28180,29138,30104,31081,32086,32910,33810,34699,35531,36328,36975,37411,37627,37733,37543,37287,37344,37541,37854,38212,38662,39125,39712,40412,41121,42255,43626,44861,46203,47437,48414,,,,,,,,,,,,,,,,,,,,
Hombres,24,13580,14101,14663,15265,15905,16470,17331,18224,19108,20079,21043,22063,23132,24198,25247,26270,27263,28238,29202,30172,31155,31962,32848,33759,34656,35506,36297,36925,37347,37626,37681,37381,37331,37417,37616,37881,38280,38685,39241,39942,40651,41738,43059,44294,45520,46761,47948,,,,,,,,,,,,,,,,,,,,
Hombres,25,13139,13616,14138,14693,15291,15930,16496,17356,18245,19119,20075,21058,22109,23176,24243,25295,26318,27318,28297,29263,30237,31043,31906,32805,33728,34637,35485,36271,36889,37372,37606,37531,37413,37395,37491,37663,37970,38281,38781,39439,40161,41228,42462,43643,44864,45986,47174,,,,,,,,,,,,,,,,,,,,
Hombres,26,12698,13160,13638,14154,14705,15302,15943,16508,17363,18244,19104,20085,21103,22151,23218,24286,25336,26364,27367,28345,29313,30133,30986,31863,32777,33708,34616,35471,36252,36927,37371,37464,37547,37462,37463,37550,37766,37952,38358,38951,39640,40685,41863,42955,44121,45239,46303,,,,,,,,,,,,,,,,,,,,
Hombres,27,12283,12698,13162,13635,14150,14701,15300,15941,16503,17352,18221,19110,20128,21142,22188,23254,24318,25371,26399,27398,28376,29212,30072,30939,31832,32750,33680,34607,35459,36290,36932,37229,37459,37578,37519,37525,37659,37728,38011,38502,39133,40100,41223,42263,43340,44406,45467,,,,,,,,,,,,,,,,,,,,
Hombres,28,11921,12265,12683,13143,13615,14131,14686,15285,15924,16481,17320,18220,19147,20159,21171,22214,23276,24341,25392,26415,27412,28279,29147,30019,30901,31793,32710,33668,34592,35488,36291,36787,37202,37469,37619,37578,37633,37603,37770,38130,38666,39523,40540,41532,42559,43544,44557,,,,,,,,,,,,,,,,,,,,
Hombres,29,11512,11886,12233,12650,13110,13585,14105,14662,15261,15897,16447,17317,18252,19173,20182,21189,22226,23286,24348,25391,26410,27315,28208,29086,29971,30851,31740,32692,33647,34609,35479,36141,36738,37190,37492,37670,37679,37563,37630,37867,38277,38984,39868,40763,41748,42694,43632,,,,,,,,,,,,,,,,,,,,
Hombres,30,11086,11461,11841,12188,12606,13070,13551,14074,14632,15230,15861,16441,17345,18273,19189,20193,21193,22227,23282,24334,25372,26317,27241,28142,29031,29910,30785,31715,32665,33653,34592,35329,36076,36709,37198,37534,37764,37599,37578,37709,37999,38524,39241,40016,40911,41827,42733,,,,,,,,,,,,,,,,,,,,
Hombres,31,10667,11024,11405,11786,12136,12559,13031,13515,14041,14601,15196,15855,16464,17360,18284,19194,20190,21186,22214,23259,24305,25284,26242,27172,28079,28959,29831,30753,31681,32658,33625,34441,35251,36032,36702,37230,37617,37678,37606,37643,37829,38181,38706,39327,40109,40947,41833,,,,,,,,,,,,,,,,,,,,
Hombres,32,10271,10598,10961,11345,11729,12086,12518,12996,13485,14014,14572,15192,15876,16478,17368,18285,19187,20178,21167,22185,23222,24222,25210,26170,27104,28001,28872,29798,30717,31667,32624,33478,34355,35196,36013,36723,37300,37529,37680,37661,37753,37951,38300,38742,39378,40116,40934,,,,,,,,,,,,,,,,,,,,
Hombres,33,9891,10197,10532,10898,11287,11679,12046,12484,12967,13461,13992,14570,15210,15885,16482,17366,18275,19173,20157,21135,22145,23147,24152,25139,26102,27022,27909,28839,29760,30696,31627,32482,33387,34292,35168,36026,36783,37218,37532,37730,37766,37825,38020,38297,38762,39365,40092,,,,,,,,,,,,,,,,,,,,
Hombres,34,9526,9814,10129,10468,10841,11238,11641,12015,12461,12950,13447,13992,14585,15217,15888,16479,17356,18261,19151,20126,21097,22080,23083,24085,25072,26019,26928,27878,28801,29734,30650,31493,32390,33320,34257,35173,36075,36707,37223,37580,37832,37793,37854,37989,38296,38737,39337,,,,,,,,,,,,,,,,,,,,
Hombres,35,9187,9452,9750,10070,10416,10798,11206,11617,11999,12451,12944,13451,14005,14591,15219,15884,16468,17341,18240,19122,20089,21039,22021,23020,24019,24990,25924,26899,27839,28770,29683,30524,31402,32322,33282,34258,35214,36011,36718,37271,37679,37820,37791,37802,37973,38266,38711,,,,,,,,,,,,,,,,,,,,
Hombres,36,8866,9118,9393,9695,10022,10377,10770,11187,11606,11995,12452,12950,13460,14008,14590,15215,15874,16456,17325,18216,19092,20041,20987,21963,22958,23940,24896,25897,26861,27805,28715,29568,30437,31334,32280,33276,34287,35158,36024,36763,37364,37631,37792,37723,37774,37939,38241,,,,,,,,,,,,,,,,,,,,
Hombres,37,8555,8802,9064,9344,9654,9990,10356,10757,11181,11608,12002,12460,12956,13461,14007,14587,15206,15865,16444,17306,18194,19052,19996,20935,21905,22881,23848,24871,25860,26823,27746,28611,29486,30371,31290,32270,33297,34242,35175,36068,36852,37286,37585,37714,37689,37740,37917,,,,,,,,,,,,,,,,,,,,
Hombres,38,8257,8500,8756,9023,9310,9628,9974,10348,10757,11188,11619,12009,12460,12953,13457,14002,14579,15199,15856,16430,17291,18159,19011,19947,20879,21831,22791,23824,24834,25819,26761,27653,28534,29422,30327,31276,32283,33261,34263,35217,36150,36748,37228,37501,37675,37654,37721,,,,,,,,,,,,,,,,,,,,
Hombres,39,7952,8211,8462,8722,8995,9290,9617,9970,10350,10765,11199,11622,12003,12453,12947,13452,13996,14575,15195,15851,16426,17262,18123,18967,19895,20809,21744,22769,23787,24791,25754,26679,27582,28473,29376,30307,31279,32254,33282,34299,35289,36024,36681,37139,37458,37640,37636,,,,,,,,,,,,,,,,,,,,
Hombres,40,7628,7914,8181,8436,8701,8980,9283,9616,9974,10359,10776,11200,11613,11995,12447,12942,13448,13995,14576,15196,15855,16399,17228,18080,18916,19826,20723,21721,22731,23742,24724,25682,26614,27523,28426,29351,30300,31257,32275,33315,34363,35146,35951,36589,37092,37421,37621,,,,,,,,,,,,,,,,,,,,
Hombres,41,7281,7599,7891,8160,8419,8689,8976,9282,9619,9981,10367,10772,11187,11602,11987,12442,12940,13450,14002,14585,15210,15829,16367,17188,18032,18851,19745,20702,21683,22683,23671,24659,25620,26555,27472,28393,29332,30280,31274,32299,33365,34203,35067,35856,36537,37050,37396,,,,,,,,,,,,,,,,,,,,
Hombres,42,7003,7258,7581,7874,8146,8409,8685,8975,9285,9624,9985,10360,10757,11174,11593,11983,12442,12946,13462,14016,14605,15184,15797,16328,17142,17969,18774,19722,20661,21630,22607,23611,24598,25560,26500,27432,28363,29316,30295,31291,32337,33192,34119,34969,35797,36487,37016,,,,,,,,,,,,,,,,,,,,
Hombres,43,6675,6985,7245,7567,7862,8137,8405,8683,8974,9284,9622,9973,10341,10742,11165,11590,11984,12450,12961,13481,14043,14577,15150,15756,16282,17081,17895,18747,19677,20603,21548,22549,23550,24535,25499,26451,27390,28346,29324,30301,31312,32150,33102,34015,34901,35736,36439,,,,,,,,,,,,,,,,,,,,
Hombres,44,6420,6660,6973,7232,7555,7852,8130,8399,8677,8968,9275,9605,9952,10325,10732,11161,11591,11994,12467,12983,13512,14010,14540,15106,15709,16222,17009,17862,18696,19611,20513,21492,22489,23485,24470,25443,26398,27372,28348,29319,30307,31116,32056,32994,33939,34829,35674,,,,,,,,,,,,,,,,,,,,
Hombres,45,6178,6409,6651,6962,7221,7545,7844,8122,8389,8667,8954,9256,9585,9938,10317,10731,11165,11604,12014,12493,13017,13475,13970,14495,15059,15650,16154,16971,17805,18623,19514,20457,21429,22419,23413,24404,25378,26376,27365,28331,29308,30101,31016,31942,32907,33854,34749,,,,,,,,,,,,,,,,,,,,
Hombres,46,5937,6167,6399,6639,6949,7208,7534,7831,8107,8373,8645,8930,9236,9570,9929,10315,10734,11178,11624,12039,12527,12974,13429,13921,14445,15000,15584,16108,16907,17726,18522,19460,20394,21358,22343,23340,24329,25352,26360,27335,28303,29095,29997,30895,31844,32807,33755,,,,,,,,,,,,,,,,,,,,
Hombres,47,5700,5925,6156,6385,6624,6934,7194,7517,7812,8086,8346,8619,8912,9222,9563,9929,10320,10747,11197,11648,12071,12477,12924,13377,13870,14386,14936,15529,16037,16821,17619,18466,19394,20318,21275,22261,23252,24296,25325,26316,27290,28084,28984,29868,30785,31729,32689,,,,,,,,,,,,,,,,,,,,
Hombres,48,5466,5687,5913,6141,6368,6606,6916,7173,7493,7786,8053,8318,8602,8898,9215,9562,9932,10330,10763,11217,11675,12015,12421,12867,13323,13810,14323,14871,15449,15946,16711,17562,18397,19313,20229,21184,22162,23212,24258,25268,26256,27068,27968,28848,29746,30656,31592,,,,,,,,,,,,,,,,,,,,
Hombres,49,5236,5451,5672,5895,6121,6347,6584,6890,7144,7461,7747,8022,8300,8588,8890,9211,9561,9938,10341,10777,11237,11611,11952,12360,12809,13262,13747,14249,14784,15351,15832,16649,17487,18310,19216,20128,21074,22114,23164,24189,25193,26031,26945,27825,28716,29603,30501,,,,,,,,,,,,,,,,,,,,
Hombres,50,5016,5220,5434,5652,5871,6095,6320,6554,6856,7106,7416,7711,8003,8284,8577,8883,9207,9562,9943,10348,10788,11166,11543,11887,12300,12747,13200,13665,14155,14680,15233,15765,16568,17393,18205,19107,20008,21018,22055,23084,24100,24967,25902,26795,27681,28559,29432,,,,,,,,,,,,,,,,,,,,
Hombres,51,4810,4996,5198,5409,5623,5841,6064,6285,6515,6814,7057,7379,7693,7986,8271,8567,8873,9202,9560,9940,10348,10711,11093,11473,11823,12235,12685,13107,13562,14044,14558,15157,15677,16467,17280,18087,18976,19944,20949,21964,22982,23874,24833,25746,26642,27513,28374,,,,,,,,,,,,,,,,,,,,
Hombres,52,4621,4785,4969,5168,5376,5588,5805,6024,6241,6468,6759,7017,7358,7673,7969,8255,8550,8860,9190,9546,9928,10264,10632,11019,11406,11757,12172,12582,12997,13445,13918,14474,15061,15569,16347,17155,17948,18904,19865,20847,21850,22755,23733,24669,25583,26462,27313,,,,,,,,,,,,,,,,,,,,
Hombres,53,4454,4593,4755,4936,5132,5337,5548,5760,5975,6189,6409,6714,6993,7334,7650,7947,8232,8529,8839,9165,9521,9840,10181,10554,10947,11335,11690,12059,12463,12873,13315,13824,14368,14943,15441,16213,17008,17868,18816,19753,20721,21623,22608,23563,24496,25391,26249,,,,,,,,,,,,,,,,,,,,
Hombres,54,4305,4420,4557,4716,4894,5087,5291,5498,5706,5918,6125,6361,6688,6965,7306,7622,7916,8202,8498,8803,9128,9430,9753,10099,10477,10872,11263,11566,11931,12333,12739,13210,13708,14240,14805,15300,16060,16919,17770,18694,19616,20496,21470,22431,23381,24294,25166,,,,,,,,,,,,,,,,,,,,
Hombres,55,4174,4264,4378,4512,4668,4844,5035,5235,5438,5643,5848,6072,6329,6654,6931,7271,7583,7877,8161,8452,8755,9034,9340,9667,10019,10398,10794,11130,11432,11796,12197,12625,13086,13573,14096,14658,15143,15964,16813,17641,18549,19394,20338,21288,22242,23169,24057,,,,,,,,,,,,,,,,,,,,
Hombres,56,4057,4127,4216,4327,4458,4613,4787,4975,5171,5371,5571,5792,6037,6291,6615,6890,7225,7536,7827,8104,8392,8658,8940,9250,9582,9934,10315,10654,10990,11293,11658,12072,12491,12942,13422,13943,14495,15040,15850,16676,17489,18329,19230,20150,21091,22021,22922,,,,,,,,,,,,,,,,,,,,
Hombres,57,3945,4003,4072,4159,4267,4398,4551,4722,4907,5101,5295,5511,5752,5994,6247,6568,6838,7171,7479,7762,8036,8294,8562,8848,9160,9491,9843,10168,10507,10845,11150,11521,11928,12339,12785,13264,13777,14384,14920,15708,16518,17271,18159,19037,19946,20862,21763,,,,,,,,,,,,,,,,,,,,
Hombres,58,3831,3884,3942,4010,4095,4202,4333,4483,4651,4833,5022,5232,5465,5704,5944,6194,6509,6777,7106,7406,7684,7936,8195,8465,8753,9063,9393,9691,10017,10358,10698,11004,11370,11770,12177,12623,13096,13658,14255,14771,15543,16300,17096,17961,18827,19711,20597,,,,,,,,,,,,,,,,,,,,
Hombres,59,3711,3764,3817,3873,3940,4025,4133,4261,4409,4575,4754,4956,5183,5413,5649,5886,6130,6443,6706,7025,7319,7582,7833,8093,8363,8648,8956,9236,9535,9863,10208,10542,10844,11205,11601,12010,12452,12968,13520,14097,14601,15326,16119,16892,17744,18585,19439,,,,,,,,,,,,,,,,,,,,
Hombres,60,3580,3638,3691,3743,3799,3866,3952,4058,4184,4332,4495,4686,4903,5126,5354,5587,5818,6060,6366,6621,6934,7216,7478,7728,7987,8254,8535,8797,9078,9379,9709,10043,10375,10674,11033,11433,11839,12316,12822,13355,13918,14383,15137,15908,16669,17496,18307,,,,,,,,,,,,,,,,,,,,
Hombres,61,3438,3502,3560,3612,3664,3722,3791,3876,3981,4107,4252,4426,4629,4843,5063,5288,5513,5742,5979,6275,6523,6829,7109,7368,7617,7871,8133,8372,8635,8917,9220,9537,9870,10199,10498,10862,11261,11694,12162,12649,13169,13696,14188,14921,15679,16415,17213,,,,,,,,,,,,,,,,,,,,
Hombres,62,3288,3356,3420,3477,3530,3583,3643,3711,3796,3902,4027,4180,4365,4565,4776,4992,5209,5433,5656,5883,6173,6418,6719,6995,7252,7495,7743,7968,8207,8470,8752,9043,9360,9690,10019,10325,10689,11105,11530,11979,12454,12941,13489,13964,14685,15418,16126,,,,,,,,,,,,,,,,,,,,
Hombres,63,3133,3201,3269,3333,3391,3445,3502,3561,3630,3717,3822,3954,4116,4297,4494,4700,4909,5124,5341,5554,5775,6063,6304,6600,6872,7121,7357,7572,7797,8035,8298,8571,8862,9177,9507,9843,10150,10523,10930,11338,11775,12220,12725,13256,13722,14418,15124,,,,,,,,,,,,,,,,,,,,
Hombres,64,2978,3044,3111,3180,3244,3303,3361,3418,3478,3550,3636,3747,3885,4043,4221,4414,4613,4820,5028,5235,5442,5664,5946,6182,6472,6736,6977,7184,7398,7621,7859,8114,8387,8677,8992,9328,9663,9972,10337,10728,11124,11534,11994,12483,13004,13451,14120,,,,,,,,,,,,,,,,,,,,
Hombres,65,2821,2885,2951,3019,3088,3154,3217,3275,3333,3397,3468,3558,3673,3807,3963,4137,4322,4518,4718,4916,5117,5327,5544,5819,6050,6331,6585,6801,7005,7216,7437,7672,7928,8200,8489,8810,9146,9475,9776,10126,10505,10876,11298,11744,12223,12724,13148,,,,,,,,,,,,,,,,,,,,
Hombres,66,2662,2727,2792,2858,2926,2997,3066,3129,3189,3250,3314,3387,3479,3591,3723,3875,4041,4224,4413,4603,4795,4999,5203,5414,5682,5904,6175,6406,6618,6819,7028,7250,7485,7739,8009,8304,8623,8946,9267,9555,9894,10249,10630,11040,11475,11935,12413,,,,,,,,,,,,,,,,,,,,
Hombres,67,2500,2568,2632,2697,2763,2834,2907,2976,3040,3102,3164,3227,3301,3391,3501,3630,3775,3938,4114,4294,4478,4674,4872,5070,5275,5533,5746,5995,6221,6427,6625,6839,7061,7294,7546,7821,8113,8415,8729,9036,9314,9630,9994,10364,10765,11183,11621,,,,,,,,,,,,,,,,,,,,
Hombres,68,2329,2406,2474,2538,2603,2671,2744,2817,2887,2954,3017,3075,3138,3209,3298,3404,3527,3669,3826,3992,4166,4353,4544,4736,4928,5125,5372,5566,5809,6028,6231,6439,6651,6869,7099,7355,7626,7897,8190,8491,8787,9043,9367,9721,10083,10467,10864,,,,,,,,,,,,,,,,,,,,
Hombres,69,2151,2238,2313,2381,2445,2511,2581,2653,2726,2799,2865,2923,2980,3040,3112,3197,3298,3419,3556,3704,3864,4042,4223,4407,4593,4775,4962,5192,5381,5616,5832,6046,6251,6459,6673,6905,7155,7403,7667,7946,8236,8509,8774,9089,9435,9782,10146,,,,,,,,,,,,,,,,,,,,
Hombres,70,1965,2062,2147,2221,2288,2353,2421,2491,2563,2638,2709,2770,2824,2879,2939,3008,3088,3188,3303,3431,3574,3738,3909,4084,4261,4438,4612,4784,5007,5189,5419,5647,5858,6056,6259,6474,6699,6926,7167,7418,7686,7952,8233,8491,8798,9129,9457,,,,,,,,,,,,,,,,,,,,
Hombres,71,1780,1881,1975,2058,2130,2197,2264,2330,2399,2472,2545,2609,2664,2717,2772,2831,2895,2975,3070,3178,3302,3448,3606,3771,3940,4108,4275,4436,4603,4817,4995,5238,5460,5663,5855,6057,6264,6468,6687,6915,7155,7399,7672,7945,8197,8490,8802,,,,,,,,,,,,,,,,,,,,
Hombres,72,1599,1699,1796,1886,1967,2039,2107,2171,2236,2306,2377,2441,2499,2554,2607,2661,2716,2780,2857,2946,3050,3176,3317,3468,3626,3785,3943,4099,4254,4414,4622,4815,5050,5263,5458,5649,5842,6029,6225,6432,6649,6865,7117,7381,7647,7886,8160,,,,,,,,,,,,,,,,,,,,
Hombres,73,1428,1522,1617,1710,1797,1876,1948,2013,2076,2142,2209,2271,2329,2386,2441,2494,2543,2599,2661,2731,2817,2923,3044,3179,3324,3473,3623,3770,3920,4068,4224,4445,4631,4855,5057,5249,5430,5606,5785,5969,6166,6359,6581,6824,7080,7331,7553,,,,,,,,,,,,,,,,,,,,
Hombres,74,1272,1355,1443,1533,1623,1707,1785,1854,1917,1980,2042,2100,2156,2214,2271,2325,2374,2425,2478,2535,2604,2691,2792,2908,3036,3172,3312,3452,3593,3737,3881,4051,4262,4438,4650,4848,5028,5194,5362,5530,5703,5875,6074,6288,6522,6762,6994,,,,,,,,,,,,,,,,,,,,
Hombres,75,1133,1202,1280,1363,1450,1536,1618,1692,1758,1820,1879,1933,1986,2041,2099,2155,2205,2255,2305,2353,2409,2478,2561,2657,2767,2887,3014,3144,3278,3413,3552,3709,3871,4070,4235,4440,4626,4794,4951,5107,5264,5413,5590,5781,5985,6204,6424,,,,,,,,,,,,,,,,,,,,
Hombres,76,1007,1064,1129,1202,1281,1364,1447,1525,1595,1659,1718,1769,1819,1871,1926,1983,2035,2086,2135,2180,2228,2282,2347,2426,2517,2619,2730,2849,2974,3102,3233,3383,3532,3682,3868,4028,4219,4394,4553,4699,4843,4975,5129,5298,5479,5669,5867,,,,,,,,,,,,,,,,,,,,
Hombres,77,898,944,996,1057,1126,1201,1280,1358,1431,1499,1559,1609,1657,1706,1758,1813,1865,1919,1968,2012,2057,2102,2154,2215,2289,2374,2468,2572,2685,2804,2927,3067,3208,3346,3485,3664,3811,3994,4159,4305,4438,4558,4694,4840,4999,5165,5335,,,,,,,,,,,,,,,,,,,,
Hombres,78,801,837,879,928,985,1050,1121,1194,1267,1337,1399,1452,1500,1547,1597,1648,1698,1752,1803,1848,1891,1931,1974,2023,2080,2149,2226,2314,2413,2520,2634,2765,2896,3026,3153,3287,3451,3594,3765,3916,4049,4158,4280,4408,4544,4688,4835,,,,,,,,,,,,,,,,,,,,
Hombres,79,713,743,776,815,860,913,974,1040,1108,1177,1241,1297,1348,1394,1442,1490,1536,1587,1639,1685,1729,1766,1805,1845,1890,1944,2006,2078,2161,2254,2357,2477,2599,2719,2838,2960,3082,3242,3374,3530,3666,3774,3884,3998,4117,4239,4365,,,,,,,,,,,,,,,,,,,,
